x,y,z,trajectory,cluster
192,121,0,30,0
216,120,0,30,0
241.5,118.5,0,30,0
267,118.5,0,30,0
292.5,118,0,30,0
318,117.3333,0,30,0
51.5,123.5,0,31,0
76,122,0,31,0
100.5,122,0,31,0
125,121,0,31,0
150.5,120,0,31,0
176,119,0,31,0
202,118,0,31,0
228,117,0,31,0
254,116,0,31,0
281.5,115,0,31,0
308,114,0,31,0
334.6667,113,0,31,0
39.5,123,0,32,0
65.5,122,0,32,0
91.5,121,0,32,0
117.5,120.5,0,32,0
144.5,119.5,0,32,0
171.5,118,0,32,0
198.5,117.5,0,32,0
226,116.5,0,32,0
254,115,0,32,0
282.5,114,0,32,0
311,113,0,32,0
339.3333,111.8333,0,32,0
75,61,0,33,1
114,58.5,0,33,1
155,56.5,0,33,1
197,54.5,0,33,1
241,52,0,33,1
284.5,50,0,33,1
327.6667,47.83333,0,33,1
63.5,53.5,0,34,1
96.5,52,0,34,1
130.5,51,0,34,1
163.5,49,0,34,1
198,47.5,0,34,1
233,46,0,34,1
269,44.5,0,34,1
304.1667,43,0,34,1
76,59.5,0,35,1
119.5,57.5,0,35,1
163.5,55,0,35,1
208.5,53,0,35,1
254.5,50.5,0,35,1
302.5,48.5,0,35,1
348.8333,46.33333,0,35,1
79,54.5,0,36,1
110.5,53,0,36,1
142,52,0,36,1
175,51,0,36,1
208,49,0,36,1
253,48,0,36,1
290,46.66667,0,36,1
61,52,0,37,1
96,50,0,37,1
130.5,48,0,37,1
165.5,46.5,0,37,1
202,44.5,0,37,1
238,42.5,0,37,1
274,40.5,0,37,1
310.1667,38.5,0,37,1
71.5,62.5,0,38,1
117,59.5,0,38,1
164,57,0,38,1
211.5,53.5,0,38,1
261,52,0,38,1
312,49.5,0,38,1
361.3333,47,0,38,1
192.5,45,0,39,1
232,41,0,39,1
271.5,41,0,39,1
313,40,0,39,1
353.1667,38.33333,0,39,1
60,54.5,0,40,1
98,53,0,40,1
131,51,0,40,1
168,48.5,0,40,1
206.5,47,0,40,1
244.5,45,0,40,1
285,42.5,0,40,1
324,40.5,0,40,1
56.5,48,0,41,1
89.5,47,0,41,1
122.5,46,0,41,1
156.5,45,0,41,1
191.5,43,0,41,1
226.5,42,0,41,1
262.5,40.5,0,41,1
299,39,0,41,1
334.8333,37.66667,0,41,1
56,51,0,42,1
89.5,49,0,42,1
123.5,47.5,0,42,1
158,46,0,42,1
193,44.5,0,42,1
229,42.5,0,42,1
265,41,0,42,1
302.5,39,0,42,1
339,37.16667,0,42,1
69,50.5,0,43,1
103,49.5,0,43,1
148.5,48.5,0,43,1
184,47.5,0,43,1
220,45.5,0,43,1
268,44.5,0,43,1
305.5,42.5,0,43,1
346,40.83333,0,43,1
66.5,60,0,44,1
101.5,58.5,0,44,1
137,56.5,0,44,1
173,55,0,44,1
210,53,0,44,1
247.5,51,0,44,1
285.5,49,0,44,1
323,47,0,44,1
104.5,54,0,45,1
132.5,51.5,0,45,1
157.5,51,0,45,1
183,50,0,45,1
208.5,49,0,45,1
234.5,48,0,45,1
261,48,0,45,1
287,47.33333,0,45,1
108,68.5,0,46,1
134.5,68.5,0,46,1
160.5,68,0,46,1
187,67.5,0,46,1
215,67,0,46,1
242.5,67,0,46,1
270.5,66,0,46,1
299,66,0,46,1
327,65.66666,0,46,1
70,57,0,47,1
107.5,55,0,47,1
145,53,0,47,1
184,51,0,47,1
223,49,0,47,1
263,46.5,0,47,1
303.5,44.5,0,47,1
343.3333,42.33333,0,47,1
37.5,53.5,0,48,1
74.5,52,0,48,1
112,50,0,48,1
150.5,48,0,48,1
189,46,0,48,1
228.5,44,0,48,1
268.5,43,0,48,1
309,41,0,48,1
349,39.33333,0,48,1
68.5,55.5,0,49,1
102,54,0,49,1
136,52,0,49,1
170.5,50.5,0,49,1
206,48.5,0,49,1
241,46,0,49,1
277.5,45,0,49,1
313.1667,43.16667,0,49,1
58.5,48.5,0,50,1
91,47,0,50,1
123.5,46,0,50,1
157,44.5,0,50,1
191,43,0,50,1
225.5,41.5,0,50,1
260.5,40,0,50,1
297,38,0,50,1
332.3333,36.33333,0,50,1
42,56.5,0,51,1
72.5,55.5,0,51,1
101.5,53.5,0,51,1
130.5,52,0,51,1
161,51,0,51,1
192,49,0,51,1
222.1667,47.5,0,51,1
36.5,58,0,52,1
55,57,0,52,1
74.5,56,0,52,1
94.5,55,0,52,1
114.5,54,0,52,1
135,52.5,0,52,1
155.5,51.5,0,52,1
175.8333,50.33333,0,52,1
178.5,80,0,53,1
208,79,0,53,1
237.5,77,0,53,1
268.5,75,0,53,1
298.5,74,0,53,1
328.6667,72.33334,0,53,1
128.5,52,0,54,1
148.5,51,0,54,1
170,50,0,54,1
191.5,49.5,0,54,1
213,48,0,54,1
235.5,47,0,54,1
257.5,46.5,0,54,1
280,45.5,0,54,1
302,44.5,0,54,1
324.1667,43.66667,0,54,1
48,59,0,55,1
68,58.5,0,55,1
88,57.5,0,55,1
108,56.5,0,55,1
128.5,55.5,0,55,1
147,54.5,0,55,1
167.5,53.5,0,55,1
187.3333,52.5,0,55,1
48,49,0,56,1
83.5,48,0,56,1
120,46,0,56,1
155.5,45,0,56,1
192.5,43.5,0,56,1
243.5,41.5,0,56,1
282,40.5,0,56,1
324.1667,39,0,56,1
135,56.5,0,57,1
165,54.5,0,57,1
194.5,53,0,57,1
225.5,51,0,57,1
257.5,50,0,57,1
289.5,47.5,0,57,1
321.1667,45.66667,0,57,1
41,64,0,58,1
73,62,0,58,1
105,61,0,58,1
137.5,59,0,58,1
171,58,0,58,1
222,55.5,0,58,1
256,53.5,0,58,1
309,51,0,58,1
355,48.66667,0,58,1
69.5,57.5,0,59,1
118.5,55.5,0,59,1
167.5,53,0,59,1
201,51,0,59,1
253,48.5,0,59,1
306,45.5,0,59,1
352.1667,43,0,59,1
71,59,0,60,1
98.5,57.5,0,60,1
126,56,0,60,1
168.5,54,0,60,1
212.5,52,0,60,1
242,51,0,60,1
271.5,49.5,0,60,1
305.8333,48,0,60,1
55.5,54.5,0,61,2
103,52,0,61,2
139,50,0,61,2
181.5,48,0,61,2
225.5,45,0,61,2
269.5,42.5,0,61,2
313,40,0,61,2
36.5,58,0,62,2
76.5,56,0,62,2
115,54.5,0,62,2
155.5,52,0,62,2
198,50,0,62,2
239,47.5,0,62,2
283.5,46,0,62,2
326.1667,44,0,62,2
52.5,53,0,63,2
97.5,50.5,0,63,2
138,48.5,0,63,2
183,46,0,63,2
229.5,42.5,0,63,2
277.5,41,0,63,2
324,38.5,0,63,2
43.5,58,0,64,2
87,55.5,0,64,2
131,53.5,0,64,2
175.5,51.5,0,64,2
221.5,49,0,64,2
268,47,0,64,2
313.6667,44.83333,0,64,2
38,52.5,0,65,2
67,51,0,65,2
96,50,0,65,2
125,49,0,65,2
154.5,47.5,0,65,2
185,46.5,0,65,2
215.5,44.5,0,65,2
246,43.5,0,65,2
278,42,0,65,2
310.5,40.5,0,65,2
342.1667,39.16667,0,65,2
50.5,48.5,0,66,2
75.5,47.5,0,66,2
100,46.5,0,66,2
125,45,0,66,2
151,44,0,66,2
176.5,42.5,0,66,2
202.5,42,0,66,2
228.5,40.5,0,66,2
255.5,39.5,0,66,2
282,38.5,0,66,2
309.5,37,0,66,2
336.5,35.83333,0,66,2
39,45.5,0,67,2
70.5,44.5,0,67,2
101.5,43.5,0,67,2
133.5,41.5,0,67,2
165.5,41,0,67,2
199,40,0,67,2
232,38,0,67,2
266,37,0,67,2
301.5,36.5,0,67,2
335.6667,35.33333,0,67,2
38,47,0,68,2
69,45,0,68,2
100,44,0,68,2
131,43,0,68,2
163,41.5,0,68,2
195.5,40.5,0,68,2
228,39,0,68,2
262,37.5,0,68,2
296.5,36,0,68,2
330.1667,34.5,0,68,2
48,53,0,69,2
77,51.5,0,69,2
107,51,0,69,2
137,49,0,69,2
168,48,0,69,2
199.5,46.5,0,69,2
230.5,45,0,69,2
263,43.5,0,69,2
296,42.5,0,69,2
328.1667,41.16667,0,69,2
56.5,59,0,70,2
86.5,57.5,0,70,2
118,56,0,70,2
149.5,54.5,0,70,2
181,53,0,70,2
214,51.5,0,70,2
247,50.5,0,70,2
281,48.5,0,70,2
314.3333,47,0,70,2
39,52,0,71,2
73.5,51,0,71,2
107,49,0,71,2
142,48,0,71,2
177.5,47,0,71,2
213.5,45.5,0,71,2
250,44.5,0,71,2
288,43,0,71,2
324.8333,41.66667,0,71,2
48.5,56,0,72,2
73,55,0,72,2
98,53.5,0,72,2
124,52,0,72,2
149.5,51,0,72,2
176,49.5,0,72,2
202,48.5,0,72,2
228.5,47.5,0,72,2
255,46,0,72,2
283,45,0,72,2
311,43,0,72,2
338.5,41.5,0,72,2
55.5,59,0,73,2
82,58,0,73,2
103.5,57,0,73,2
127,56,0,73,2
152,54.5,0,73,2
176.5,53.5,0,73,2
201.5,52.5,0,73,2
227,50.5,0,73,2
253,49.5,0,73,2
278.5,48.5,0,73,2
305.5,47,0,73,2
331.6667,45.83333,0,73,2
49,56.5,0,74,2
72,55.5,0,74,2
95.5,54.5,0,74,2
119.5,53,0,74,2
144,51.5,0,74,2
168,50.5,0,74,2
193,49,0,74,2
218,47.5,0,74,2
244,46,0,74,2
269.5,45,0,74,2
295.5,43.5,0,74,2
321.3333,42.16667,0,74,2
45,62,0,75,2
68.5,60.5,0,75,2
91,59.5,0,75,2
114.5,58.5,0,75,2
138.5,56.5,0,75,2
162.5,55.5,0,75,2
186,54.5,0,75,2
211,53.5,0,75,2
236.5,52,0,75,2
261.5,51,0,75,2
286.5,50,0,75,2
311.6667,48.83333,0,75,2
41,56.5,0,76,2
63,55,0,76,2
85,54,0,76,2
107.5,53,0,76,2
130,52,0,76,2
153.5,50.5,0,76,2
176.5,49.5,0,76,2
201.5,48.5,0,76,2
224.5,45,0,76,2
249,45.5,0,76,2
272,45,0,76,2
297.5,43.5,0,76,2
321.8333,43,0,76,2
36,61,0,77,2
59.5,59.5,0,77,2
82.5,58.5,0,77,2
105.5,57.5,0,77,2
129,56.5,0,77,2
153,55,0,77,2
176.5,54,0,77,2
200.5,53,0,77,2
225,51.5,0,77,2
249.5,50.5,0,77,2
275,49,0,77,2
300.5,47.5,0,77,2
325.6667,46.16667,0,77,2
42.5,56,0,78,2
64,55,0,78,2
85.5,54,0,78,2
107.5,53.5,0,78,2
130,52.5,0,78,2
152,51.5,0,78,2
174.5,50.5,0,78,2
197,49.5,0,78,2
220,48.5,0,78,2
243,47,0,78,2
266,46,0,78,2
290.5,45,0,78,2
314,43.83333,0,78,2
43,53.5,0,79,2
66.5,52.5,0,79,2
90,51.5,0,79,2
114,51,0,79,2
138,50,0,79,2
162.5,49.5,0,79,2
187,49,0,79,2
212.5,48,0,79,2
237.5,47.5,0,79,2
263.5,46,0,79,2
290,45,0,79,2
315.8333,44,0,79,2
35,57,0,80,2
57.5,55.5,0,80,2
80.5,54.5,0,80,2
104,53.5,0,80,2
127.5,52.5,0,80,2
150,50.5,0,80,2
173.5,49.5,0,80,2
197.5,48.5,0,80,2
222.5,47,0,80,2
247,46,0,80,2
272,44.5,0,80,2
298.5,43,0,80,2
323.8333,41.66667,0,80,2
56.5,50,0,81,2
79.5,49.5,0,81,2
100.5,49.5,0,81,2
123.5,48.5,0,81,2
148.5,47.5,0,81,2
172.5,47,0,81,2
195.5,46,0,81,2
220,45,0,81,2
244,44,0,81,2
268.5,43,0,81,2
294,42,0,81,2
318.6667,41,0,81,2
72.5,64.5,0,82,2
97,63,0,82,2
120.5,62,0,82,2
145,61,0,82,2
169.5,59.5,0,82,2
195,58.5,0,82,2
220.5,56.5,0,82,2
246,56,0,82,2
272.5,54,0,82,2
298.3333,52.5,0,82,2
45.5,49.5,0,83,2
65.5,49.5,0,83,2
86,48,0,83,2
107.5,48,0,83,2
127.5,47,0,83,2
149,46,0,83,2
170.5,46,0,83,2
192.5,45,0,83,2
215,44,0,83,2
236,42.5,0,83,2
258,42.5,0,83,2
280.5,41.5,0,83,2
303.5,40,0,83,2
326,39.16667,0,83,2
41,56,0,84,2
60,55.5,0,84,2
79,54.5,0,84,2
99.5,53.5,0,84,2
119.5,53.5,0,84,2
139.5,52.5,0,84,2
160,51.5,0,84,2
181,51.5,0,84,2
202,50,0,84,2
224,49,0,84,2
246.5,49,0,84,2
267.5,48.5,0,84,2
289,47.5,0,84,2
310.5,46.5,0,84,2
331.8333,45.66667,0,84,2
54.5,50.5,0,85,2
75,50,0,85,2
95.5,49.5,0,85,2
116,49,0,85,2
137.5,48,0,85,2
158,47,0,85,2
180,46.5,0,85,2
201.5,46,0,85,2
223.5,45,0,85,2
245.5,44,0,85,2
267.5,43.5,0,85,2
290,42.5,0,85,2
312.1667,41.66667,0,85,2
59.5,55,0,86,2
79,55,0,86,2
99,54,0,86,2
119.5,53,0,86,2
140,52.5,0,86,2
160,51.5,0,86,2
180.5,50.5,0,86,2
202,49,0,86,2
223,48.5,0,86,2
244.5,47.5,0,86,2
266,47,0,86,2
288,46,0,86,2
309.6667,45.16667,0,86,2
40,48.5,0,87,2
60,48.5,0,87,2
80,47.5,0,87,2
100.5,47,0,87,2
120.5,46,0,87,2
141,45,0,87,2
162,44,0,87,2
182,44,0,87,2
203.5,43.5,0,87,2
224.5,42,0,87,2
244.5,42,0,87,2
264,41.5,0,87,2
288.5,40,0,87,2
312.5,39,0,87,2
335.1667,38,0,87,2
52,55,0,88,2
77,54.5,0,88,2
102.5,53.5,0,88,2
127,53,0,88,2
152,52.5,0,88,2
177.5,52,0,88,2
203.5,51,0,88,2
229.5,50,0,88,2
256.5,49.5,0,88,2
283,48.5,0,88,2
309.5,48,0,88,2
336.1667,47.33333,0,88,2
49.5,56,0,89,2
69.5,55.5,0,89,2
90.5,54.5,0,89,2
111.5,53.5,0,89,2
132.5,52.5,0,89,2
153.5,51.5,0,89,2
175,50.5,0,89,2
196.5,50,0,89,2
218.5,49,0,89,2
241,48,0,89,2
263,47,0,89,2
286.5,45.5,0,89,2
309.5,44.5,0,89,2
332.3333,43.33333,0,89,2
55,48,0,90,2
75.5,47,0,90,2
96,46.5,0,90,2
116.5,45.5,0,90,2
137,44.5,0,90,2
158,44,0,90,2
179,43,0,90,2
201,42.5,0,90,2
222,41.5,0,90,2
243.5,40.5,0,90,2
265.5,39.5,0,90,2
289,39,0,90,2
312.5,38,0,90,2
335.5,37.16667,0,90,2
50,47,0,91,2
71,46,0,91,2
92,45,0,91,2
113,44,0,91,2
134.5,43,0,91,2
156,42,0,91,2
178,41,0,91,2
200.5,40,0,91,2
222.5,39.5,0,91,2
244.5,38.5,0,91,2
266.5,37.5,0,91,2
291.5,36.5,0,91,2
314.5,35.5,0,91,2
41,46.5,0,92,2
62,45.5,0,92,2
84.5,45,0,92,2
106.5,44,0,92,2
129,43.5,0,92,2
151.5,42,0,92,2
175,41.5,0,92,2
198,40.5,0,92,2
221,39.5,0,92,2
244,38.5,0,92,2
268.5,38,0,92,2
292.5,36.5,0,92,2
316.3333,35.5,0,92,2
45,46,0,93,2
65.5,45,0,93,2
87,44.5,0,93,2
108,43.5,0,93,2
129,42.5,0,93,2
149.5,43,0,93,2
171.5,42,0,93,2
193.5,40.5,0,93,2
216,40,0,93,2
237.5,38.5,0,93,2
260,38.5,0,93,2
283.5,37,0,93,2
306.5,35.5,0,93,2
329.5,34.5,0,93,2
46.5,58,0,94,2
67,57.5,0,94,2
86,56.5,0,94,2
105.5,55.5,0,94,2
125,54.5,0,94,2
145.5,53.5,0,94,2
165.5,52.5,0,94,2
186,51.5,0,94,2
206.5,50.5,0,94,2
228,49.5,0,94,2
249,48.5,0,94,2
270,47.5,0,94,2
291.5,46,0,94,2
314,45,0,94,2
335.6667,43.83333,0,94,2
37,55.5,0,95,2
60,55.5,0,95,2
82.5,54.5,0,95,2
105.5,53,0,95,2
129,52,0,95,2
152,51,0,95,2
175.5,50,0,95,2
199.5,49,0,95,2
223.5,48,0,95,2
248,47,0,95,2
272.5,46,0,95,2
298,46,0,95,2
322.8333,45.33333,0,95,2
52,54.5,0,96,2
74.5,53,0,96,2
97,52,0,96,2
120,51,0,96,2
143,49.5,0,96,2
166,48.5,0,96,2
189,47,0,96,2
212.5,45.5,0,96,2
237,44.5,0,96,2
261,43.5,0,96,2
286,42,0,96,2
311.5,41,0,96,2
336.3333,39.83333,0,96,2
47.5,49,0,97,2
69.5,48,0,97,2
92,47,0,97,2
114,47,0,97,2
137.5,45.5,0,97,2
160.5,44.5,0,97,2
184,43.5,0,97,2
207.5,44,0,97,2
231,42.5,0,97,2
255,42,0,97,2
279.5,40,0,97,2
304.5,39,0,97,2
329,37.83333,0,97,2
45.5,50,0,98,2
68,49,0,98,2
91,48.5,0,98,2
113.5,47.5,0,98,2
137,45.5,0,98,2
160.5,44.5,0,98,2
185,44,0,98,2
209.5,42.5,0,98,2
234,41.5,0,98,2
258.5,40.5,0,98,2
284,39,0,98,2
311.5,38,0,98,2
337.3333,36.83333,0,98,2
61.5,52.5,0,99,2
87,53,0,99,2
113.5,52,0,99,2
140,51,0,99,2
166.5,50,0,99,2
193,49.5,0,99,2
220.5,46,0,99,2
248,45,0,99,2
276,44,0,99,2
303.6667,42.16667,0,99,2
54.5,57.5,0,100,2
78,56,0,100,2
101,55,0,100,2
126.5,54,0,100,2
150,52.5,0,100,2
174,51.5,0,100,2
198.5,50.5,0,100,2
224,47,0,100,2
249,47.5,0,100,2
274,46.5,0,100,2
301.5,45,0,100,2
327.3333,44.33333,0,100,2
43,54,0,101,2
64.5,53,0,101,2
86,52,0,101,2
108,51,0,101,2
130,50,0,101,2
152,49,0,101,2
174.5,48,0,101,2
197,47,0,101,2
220,46,0,101,2
243,44.5,0,101,2
266,43.5,0,101,2
289.5,42.5,0,101,2
312.6667,41.33333,0,101,2
49,57.5,0,102,2
68.5,56.5,0,102,2
88,55,0,102,2
108,54,0,102,2
128,53,0,102,2
148.5,52,0,102,2
168.5,51,0,102,2
189,49.5,0,102,2
210,48.5,0,102,2
231,47.5,0,102,2
252.5,46.5,0,102,2
274,45,0,102,2
295.5,44,0,102,2
317,42.83333,0,102,2
41.5,55.5,0,103,2
64.5,54.5,0,103,2
88,53.5,0,103,2
110.5,52.5,0,103,2
134.5,51.5,0,103,2
157.5,50.5,0,103,2
181.5,50,0,103,2
205.5,48,0,103,2
230,47,0,103,2
254.5,46,0,103,2
279.5,45.5,0,103,2
305,43.5,0,103,2
330,42.33333,0,103,2
50.5,56.5,0,104,2
74,56,0,104,2
96,55,0,104,2
120,54,0,104,2
144,53,0,104,2
167,52,0,104,2
191,51,0,104,2
216.5,50,0,104,2
241,49,0,104,2
265.5,47.5,0,104,2
291.5,46.5,0,104,2
316.5,45.33333,0,104,2
53,59.5,0,105,2
73.5,58.5,0,105,2
94.5,57.5,0,105,2
115,56.5,0,105,2
137,55,0,105,2
158,54,0,105,2
180,53,0,105,2
201.5,51.5,0,105,2
224,50.5,0,105,2
247,49,0,105,2
269.5,48,0,105,2
293,47,0,105,2
316,45.83333,0,105,2
40,60,0,106,2
60.5,59,0,106,2
81.5,58,0,106,2
103,57.5,0,106,2
124,55.5,0,106,2
144.5,55,0,106,2
166,54,0,106,2
188.5,52.5,0,106,2
210.5,51.5,0,106,2
233,50.5,0,106,2
